Index,SMILES,ER Binding True,CERAPP ER Binding Consensus,HC ER Binding RF,ER Agonist True,CERAPP ER Agonist Consensus,HC ER Agnoist RF,ER Antagonist True,CERAPP ER Antagonist Consensus,HC ER Antagonist RF
1,COc1c(Cl)cc(CC)c(O)c1C(=O)NCC1CCCN1CC,,,,,,,0,0,1
2,OC(=O)C1C2CC3c4[nH]c5ccccc5c4CCN3CC2CCC1O,0,0,0,0,0,0,0,0,0
3,CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,,,,0,0,0,0,0,0
4,OC(=O)C=Cc1ccc(cc1)C=CC(O)=O,0,,0,0,,0,0,,0
5,OC1CCCCC1C1=CC=CC=C1,0,1,0,0,1,1,0,1,0
6,COCCOC1=CC2=NC=NC(NC3=CC=CC(=C3)C#C)=C2C=C1OCCOC,,,,0,0,0,,,
7,CCCCCCCCC1CO1,0,0,0,0,0,0,0,0,0
8,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,,,,0,0,0,,,
9,ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl,,,,0,0,1,0,0,0
10,CC[N+](C)(C)CC1=C(Br)C=CC=C1,0,0,0,0,0,0,0,0,0
11,CCOP(=O)(CC)OCC,0,0,0,0,0,0,0,0,0
12,COC1=CC=CC=C1OC,0,0,0,0,0,0,0,0,0
13,CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=C1C=CC=C2,0,0,1,0,0,0,0,0,1
14,CC1=C2C(O)=CC3=C4C2=C(C(O)=C1)C(=O)C1=C4C(=C(O)C=C1O)C(=O)C3(C)C,,,,0,1,,1,0,
15,N#CSCC1=CC=CC=C1,0,0,0,0,0,0,0,0,0
16,O=C1CCCC=CCCCCCCCCCC1,0,,0,0,,0,0,,0
17,NC(=N)NCCN1CCCCCCC1,0,0,0,0,0,0,0,0,0
18,OC1=C(CC2=C(Cl)C(Cl)=CC(Cl)=C2O)C(Cl)=C(Cl)C=C1Cl,1,1,,,,,1,0,
19,CC(OC(C)=O)OC(C)=O,0,0,0,0,0,0,0,0,0
20,COC(=O)C=C(C)CCC=C(C)C,0,0,0,0,0,0,0,0,0
21,O=C1C2=C3C(NN=C3C3=CC=CC=C13)=CC=C2,0,1,0,0,0,1,0,1,0
22,CN(CCCN1CCc2cc(OC)c(cc2CC1=O)OC)CC1Cc2cc(OC)c(cc21)OC,0,0,0,0,0,0,0,0,1
23,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,0,0,0,0,0,0,0,0,0
24,COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O,0,0,,0,0,,0,0,
25,COC1C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(C2O)N(C)C)C(CC=O)CC(C)C(C=CC=CCC(C)OC(=O)CC1O)OC1CCC(C(C)O1)N(C)C,0,,,0,,,0,,
26,OC(=O)C(S)C(S)C(O)=O,,,,0,0,0,,,
27,CC(C)C(C(O)=O)N(Cc1ccc(cc1)-c1ccccc1-c1[nH][n][n][n]1)C(=O)CCCC,0,0,0,0,0,0,0,0,1
28,CC=C(C)C=O,0,0,0,0,0,0,0,0,0
29,ClC1=CC=C(C=C1)N=C=O,0,0,0,0,0,0,0,0,0
30,OC(=O)C1=CC=C(C=C1)C#N,0,0,0,0,0,0,0,0,0
31,CCC(=O)C1=CC=C(Cl)C=C1,0,0,0,0,0,0,0,0,0
32,O=CC1=CC2=C(O1)C=CC=C2,0,0,0,0,0,0,0,0,0
33,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,0,0,1,0,0,0,0,0,1
34,OC1=CC=C(C=C1)C1COC2=C(C1)C=CC(O)=C2,1,1,1,1,1,1,,,
35,CC12CCC3C(CCc4cc(ccc43)OC(=O)N(CCCl)CCCl)C1CCC2OP(O)(O)=O,1,1,1,1,1,1,0,1,1
36,CC(=O)NC1=C(O)C=CC=C1,0,0,0,0,0,0,0,0,0
37,[O-][N+](=O)C1=C(Cl)C=C(Cl)C=C1Cl,0,0,0,0,0,0,0,0,0
38,CCCCCCC(O)CO,0,0,0,0,0,0,0,0,0
39,CC1=C(CC2CCC3=C(C)C4=CC=CC=C4N3C2=O)NC=N1,,,,0,0,0,,,
40,NC1CC1c1ccccc1,0,0,0,0,0,0,0,0,0
41,OCC(O)=O,0,0,0,0,0,0,0,0,0
42,CCC1=NC=CC(=C1)C(N)=S,,,,,,,0,0,0
43,C=CC(=O)OCCC#N,0,0,0,0,0,0,0,0,0
44,C1CC(C1C1=CC=CC=C1)C1=CC=CC=C1,,,,1,1,1,,,
45,CCC(CO)NCCNC(CO)CC,0,0,0,0,0,0,0,0,0
46,CCC(C)(C)CC,0,0,0,0,0,0,0,0,0
47,CCCC(C)C,0,0,0,0,0,0,0,0,0
48,NC1=CC=C(C=C1)C(C1=CC=C(N)C=C1)=C1C=CC(=N)C=C1,1,1,1,,,,1,1,1
49,CNC1=CC=CC=C1,,,,,,,0,0,0
50,COC1=CC=C(C=CC(O)=O)C=C1,0,0,1,0,0,1,0,0,0
51,NC1=NC(=O)C2C(NCC(CNc3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O)N2C=O)=N1,0,,,0,,,0,,
52,CCCCCCCCC=C,0,0,0,0,0,0,0,0,0
53,Oc1cc(CO)cc2C(C3OC(CO)C(O)C(O)C3O)c3cccc(O)c3C(=O)c12,0,1,1,0,1,1,0,1,1
54,CSc1[n]c(N=[N+]=N)[n]c(NC(C)C)[n]1,0,0,0,0,0,0,0,0,0
55,COC1CC(OC(C)C1O)OC1C(C)C=CC=C2COC3C(N=O)C(C)=CC(C(=O)OC4CC(CC=C1C)OC1(C4)CCC(C)C(O1)C1CCCCC1)C23O,0,0,,0,0,,0,0,
56,OC1CCC(CC1)C1CCCCC1,0,1,0,0,1,1,0,1,0
57,ON=C1CCCCC1,0,0,0,0,0,0,0,0,0
58,OC1C2=C(C=CC=C2)C2=C1C=CC=C2,,,,1,0,1,,,
59,ClC1=CC=C(CSC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,0,0,1,0,0,0,0,0,1
60,O=C1C(=O)C2=CC=CC3=C2C1=CC=C3,0,0,0,0,0,1,0,0,0
61,OC1=CC2=C3C(OC(=O)C4=CC(O)=C(O)C(OC2=O)=C34)=C1O,0,1,,0,1,,0,1,
62,OC(=O)C1=CC2=C(NC=C2CCCCN2CCC(=CC2)C2=CC=CC=C2)C=C1,0,0,0,0,0,0,0,0,1
63,CS(O)(=O)=O,0,0,0,0,0,0,0,0,0
64,OC1=C(C=C(Cl)C=C1Cl)C1=CC=CC=C1,,,,1,1,1,,,
65,CCN(CC)C1=CC=C2C(C)=CC(=O)OC2=C1,,,,,,,0,0,0
66,S(SC1=NC2=C(S1)C=CC=C2)C1=NC2=C(S1)C=CC=C2,0,0,1,0,0,0,0,0,1
67,Cc1ccc(cc1)C1(O)CCN(CCCC(=O)c2ccc(F)cc2)CC1,0,0,0,0,0,0,0,0,1
68,OC(=O)CCCCC1CCSS1,0,0,0,0,0,0,0,0,0
69,BrCC1=CC=CC=C1,0,0,0,0,0,0,0,0,0
70,OC(=O)COC1=C(Cl)C(Cl)=C(C=C1)C(=O)C1=CC=CS1,0,0,1,0,0,1,0,0,0
71,COC1=CC=C(OC)C(OC)=C1,0,0,0,0,0,0,0,0,0
72,CCN(CC)CCOC(=O)C(C1CCCCC1)C1=CC=CC=C1,0,0,0,0,0,0,0,0,1
73,CC1=CC=CC=CC=CC=CC(O)C(C)OC(=O)C(C(O)CCCCC)C(O)CC(O)CC(O)CC(O)CC(O)CC(O)C(O)C1O,0,,,0,,,0,,
74,CCC1NC(=O)C2=CC(=C(Cl)C=C2N1)S(N)(=O)=O,0,0,0,0,0,0,0,0,0
75,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC,0,0,,0,0,,0,0,
76,CCC(C)C(N)C(O)=O,,,,0,0,0,0,0,0
77,OCCN(CCO)C=O,0,0,0,0,0,0,0,0,0
78,ClCCOCCOCCCl,0,0,0,0,0,0,0,0,0
79,CN(C)CC1=CC(CN(C)C)=C(O)C(CN(C)C)=C1,0,0,0,0,0,0,0,0,0
80,C1COC1,0,0,0,0,0,0,0,0,0
81,C(OC1=CC=C(C=C1)N(CC1CO1)CC1CO1)C1CO1,0,0,0,0,0,0,0,0,0
82,O=C(OC1CN2CCC1CC2)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0
83,CC(C)CC(NC=O)C(=O)OC(CC1OC(=O)C1CCCCCC)CCCCCCCCCCC,,,,0,0,,,,
84,NCCCC(N)C(O)=O,0,0,0,0,0,0,0,0,0
85,Fc1ccc(cc1)C1CCNCC1COc1cc2OCOc2cc1,0,0,1,0,0,0,0,0,1
86,O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,0,1,0,0,0,1,0,1,0
87,COC(=O)C1=C(C=CS1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1,0,0,,0,0,0,0,0,
88,OC1=CC2=CC=C(SSC3=CC4=CC=C(O)C=C4C=C3)C=C2C=C1,1,1,1,1,1,1,,,
89,N1C2=CN=CC=C2C2=C1C=CC=C2,0,0,0,0,0,1,0,0,0
90,O=C1CCCC2=C1C=C1C=CC3=C4C(C=CC2=C14)=CC=C3,,,,1,1,,0,1,
91,CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,0,0,0,0,0,0,0,0,0
92,COC1=CC(OC)=NC(NC(=O)NS(=O)(=O)C2=NC=CC=C2OCC(F)(F)F)=N1,0,0,0,0,0,0,0,0,0
93,FC1=CC=C(Br)C=C1,,,,,,,0,1,0
94,C[N+](C)(C)CCOC(=O)C=C,0,0,0,0,0,0,0,0,0
95,FC(F)(Cl)C(F)(Cl)Cl,0,0,0,0,0,0,0,0,0
96,CCN(CC)C(C)=O,0,0,0,0,0,0,0,0,0
97,ClC1=CC(=C(Cl)C(Cl)=C1)C1=C(Cl)C(Cl)=CC(Cl)=C1,,,,1,0,1,,,
98,COC(=O)C1(O)C2=C(C=CC=C2)C2=C1C=CC=C2,0,1,1,0,0,1,0,1,0
99,CC(=O)C1=CC=CC=N1,0,0,0,0,0,0,0,0,0
100,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0,0,1,0,0,1,0,0,1
101,CCC(C(=O)NC(N)=O)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0
102,CCC(C)(C)C1CCC(CC1)OC,0,0,0,0,0,0,0,0,0
103,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0
104,CC(=O)CCC1=CC=CC=C1,0,0,0,0,0,0,0,0,0
105,CCCCCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(N)(=O)=O)C(F)(F)F,0,0,0,0,0,0,0,0,0
106,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)NC1=CC=C(O)C=C1,1,1,1,,,,1,0,1
107,CC1=CC(Br)=CC=C1NC(=O)CCl,,,,0,0,0,,,
108,COc1c2C(=O)OC(C3c4c(OC)c5OCOc5cc4CCN3C)c2ccc1OC,0,0,1,0,0,0,0,0,1
109,ClC1=CC(Cl)=C(C=C1)C1(CN2C=NC=N2)OCCO1,0,0,0,0,0,0,0,0,1
110,CCN(CCO)CCO,0,0,0,0,0,0,0,0,0
111,ClC1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,0,0,0,0,0,0,0,0,1
112,CC(=O)CN(CC(C)=O)N=O,0,0,0,0,0,0,0,0,0
