Index,SMILES,FP_1,FP_2,FP_3,FP_4,FP_5,FP_6,FP_7,FP_8,FP_9,FP_10,FP_11,FP_12,FP_13,FP_14,FP_15,FP_16,FP_17,FP_18,FP_19,FP_20,FP_21,FP_22,FP_23,FP_24,FP_25,FP_26,FP_27,FP_28,FP_29,FP_30,FP_31,FP_32,FP_33,FP_34,FP_35,FP_36,FP_37,FP_38,FP_39,FP_40,FP_41,FP_42
1,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,5,5,2,0,24,17,6,1,0,3.1595,154.5726,96.2752,340.845,61.8
2,O=C(O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,4,4,3,0,29,18,10,1,0,2.4966,264.1089,99.7033,340.41616,76.56
3,CSc1nc(NC(C)C)nc(NC(C)C)n1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,6,6,2,0,16,10,6,0,0,2.3801,131.1049,69.3874,241.35636,88.03
4,O=C(O)C=Cc1ccc(C=CC(=O)O)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,4,2,0,16,6,6,4,0,1.8822,204.3546,59.7816,218.2054,74.6
5,OC1CCCCC1c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,0,14,8,6,0,0,2.7051,45.0262,54.4908,176.25484,20.23
6,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,7,6,1,0,31,13,17,0,1,3.4781,166.9757,111.3987,393.43572,74.73
7,CCCCCCCCC1CO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,11,11,0,0,0,3.1358,-15.5905,49.155,156.2652,12.53
8,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,3,3,0,0,22,8,12,2,0,2.6544,125.7551,87.951,284.74022,32.67
9,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,20,4,4,0,0,22,19,0,3,0,4.4367,123.4509,78.585,422.92454,60.98
10,CC[N+](C)(C)Cc1ccccc1Br,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,7,6,0,0,3.0454,104.6948,60.7104,243.16338,0
11,CCOP(=O)(CC)OCC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,9,8,0,1,0,2.2724,-29.0304,41.7895,166.155261,45.34
12,COc1ccccc1OC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,0,0,10,4,6,0,0,1.7038,14.5296,39.426,138.1638,18.46
13,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,26,9,17,0,0,5.7693,93.982,105.181,317.46718,3.24
14,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,6,4,0,32,13,17,2,0,3.6559,383.3934,103.611,376.35884,115.06
15,N#CSCc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,2,0,0,10,3,6,0,1,2.40088,49.3578,43.555,149.21288,49.09
16,O=C1CCCC=CCCCCCCCCCC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,0,0,17,15,0,2,0,5.1966,20.5554,76.638,236.39292,17.07
17,N=C(N)NCCN1CCCCCCC1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,4,4,3,0,14,13,0,1,0,1.8644,108.7219,63.9808,198.30848,65.14
18,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,2,2,2,0,22,10,12,0,0,6.609,219.6531,90.001,406.90354,40.46
19,CC(=O)OC(C)OC(C)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,0,0,9,7,0,2,0,0.4586,-1.6802,33.526,146.1412,52.6
20,COC(=O)C=C(C)CCC=C(C)C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,0,0,12,9,0,3,0,2.8521,8.9782,55.328,182.25942,26.3
